32% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
32% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 4: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
32% - 4: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
32% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
33% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
33% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
33% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
33% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
33% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
33% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
33% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
33% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
34% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>3, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>1, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
35% - 4: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
36% - 4: {:des_p_types=>5, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
36% - 4: {:des_p_types=>3, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
36% - 4: {:des_p_types=>5, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
36% - 4: {:des_p_types=>3, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
36% - 4: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
31% - 5: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
31% - 5: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
31% - 5: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
31% - 5: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
31% - 5: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
31% - 5: {:des_p_types=>1, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
32% - 5: {:des_p_types=>1, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 5: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
32% - 5: {:des_p_types=>3, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 5: {:des_p_types=>1, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
32% - 5: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 5: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
32% - 5: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
33% - 5: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
33% - 5: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
33% - 5: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
34% - 5: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
34% - 5: {:des_p_types=>3, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
34% - 5: {:des_p_types=>1, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
35% - 5: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
35% - 5: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
35% - 5: {:des_p_types=>3, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
35% - 5: {:des_p_types=>3, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
35% - 5: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 5: {:des_p_types=>5, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
35% - 5: {:des_p_types=>3, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 5: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
35% - 5: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>1}
35% - 5: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
35% - 5: {:des_p_types=>3, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>5}
36% - 5: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
36% - 5: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>3, :acq_partner_competitor=>3}
